Date,Adj Close,Close,High,Low,Open,Volume
,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO
2022-03-29,64998.2265625,65325.8984375,66850.0,65100.0,65600.0,597
2022-03-30,65056.4765625,65384.44921875,65925.8984375,65144.80078125,65450.1484375,688
2022-03-31,64647.4453125,64973.3515625,65800.0,64661.5,65384.44921875,852
2022-04-01,66027.4921875,66360.3515625,66600.0,65085.5,65313.94921875,250
2022-04-04,66653.9453125,66989.953125,67200.0,66682.203125,67000.0,299
2022-04-05,67292.9609375,67632.203125,68127.0,67300.0,67499.8984375,275
2022-04-06,67256.9765625,67596.046875,67946.953125,67200.203125,67946.953125,134
2022-04-07,66859.2890625,67196.3515625,68050.546875,67000.0,67984.953125,138
2022-04-08,67423.2421875,67763.1484375,68100.0,66800.0,67574.953125,436
2022-04-11,67398.3203125,67738.1015625,68027.75,67611.296875,67761.0,116
2022-04-12,67202.7578125,67541.546875,67951.6015625,66607.3515625,67606.1484375,236
2022-04-13,67120.234375,67458.6015625,68140.0,67046.1015625,68140.0,148
2022-04-18,66650.6015625,66986.6015625,67461.0,66090.5,67001.046875,249
2022-04-19,65861.015625,66193.046875,67751.5,65800.0,67079.0,377
2022-04-20,67394.6328125,67734.3984375,68201.703125,66639.046875,66765.0,272
2022-04-21,69331.078125,69680.6015625,70081.6015625,67880.0,67880.0,856
2022-04-22,68785.625,69132.3984375,69430.3984375,68519.3515625,69400.0,226
2022-04-25,68763.3359375,69110.0,69450.0,68280.0,68280.0,144
2022-04-26,70913.7578125,71271.25,71438.546875,69486.8515625,69574.8984375,493
2022-04-27,71823.171875,72185.25,72590.0,70250.0,70800.0,482
2022-04-28,72003.109375,72366.1015625,72544.6015625,71023.453125,72500.0,416
2022-04-29,72324.0,72688.6015625,73317.5,71800.0,72264.703125,591
2022-05-04,71454.9296875,71815.1484375,73000.3984375,71232.453125,72750.0,5596
2022-05-05,70768.03125,71124.796875,72714.453125,70950.0,72599.953125,147
2022-05-06,69714.0390625,70065.5,70952.0,69351.046875,70952.0,241
2022-05-09,68235.3515625,68579.3515625,69774.953125,68361.0,69500.0,318
2022-05-10,68329.484375,68673.953125,70895.953125,67321.1484375,68560.0,699
2022-05-11,67777.8671875,68119.546875,69233.5,67885.046875,68100.0,287
2022-05-12,67246.140625,67585.1484375,68070.0,66685.1015625,68070.0,403
2022-05-13,71639.1328125,72000.296875,73141.75,67600.0,67600.0,1083
2022-05-16,72223.640625,72587.75,73200.0,70590.1484375,72000.0,395
2022-05-17,73612.140625,73983.25,74200.0,72560.203125,72600.0,754
2022-05-18,74201.0703125,74575.1484375,74735.0,73793.546875,74000.0,404
2022-05-19,73119.4765625,73488.1015625,74216.5,73000.546875,73000.546875,156
2022-05-20,73696.0859375,74067.6015625,74648.203125,73275.1484375,73750.0,624
2022-05-23,72998.140625,73366.1484375,75075.3984375,73102.6015625,74767.6015625,198
2022-05-24,73964.2734375,74337.1484375,74649.703125,73138.296875,74649.703125,301
2022-05-25,74442.8046875,74818.1015625,75372.3515625,73554.8984375,74569.3515625,173
2022-05-26,74675.140625,75051.6015625,75285.453125,73674.453125,74975.0,257
2022-05-27,74304.5546875,74679.1484375,75649.953125,74300.0,75500.0,167
2022-05-30,74970.2578125,75348.203125,75750.0,75032.8984375,75300.0,287
2022-05-31,77267.3203125,77656.8515625,78138.5,75350.0,75350.0,350
